,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
10,Rappi,https://www.crunchbase.com/organization/rappi,"Consumer Goods, E-Commerce, Food Delivery","Bogotá, Distrito Especial, Colombia",Rappi is a consumer tech company that specializes in providing online delivery services.,"7,739",Latin America,$10M to $50M,Active,2015-01-01,year,,,,,For Profit,http://www.rappi.com,https://twitter.com/rappibrasil,https://www.facebook.com/RappiBrasil/,https://www.linkedin.com/company/rappi/,servicoaocliente@rappi.com,,93,Unicorn,"Rappi is a consumer tech company that specializes in providing online delivery services. It connects consumers who want to purchase prepared foods, groceries, clothes, and virtually anything with independent contractors who can fulfill those needs. The company was founded in 2015 with its main offices in Bogota, Colombia.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Food and Beverage, Transportation",3.0,"Felipe Villamarin, Sebastian Mejia, Simon Borrero",5001-10000,9.0,Late Stage Venture,2020-09-24,300000000,USD,300000000.0,Series F,300000000.0,USD,300000000.0,Series F,1692005447.0,USD,1692005447.0,1692005447.0,USD,1692005447.0,"SoftBank, Sequoia Capital, FJ Labs, Andreessen Horowitz, FundersClub",8.0,38.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2.0,"8,134",66.0,1.0,,39.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
11,RobinFood,https://www.crunchbase.com/organization/muy,"Food and Beverage, Food Delivery, Restaurants, Retail Technology","Bogotá, Distrito Especial, Colombia",RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.,"8,657",Latin America,Less than $1M,Active,2018-03-01,month,,,,,For Profit,http://robinfood.com,,,https://www.linkedin.com/company/robinfoodlatam,jose@muy.com.co,,7,,"RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food. Its restaurants leverage its own technology through which customizable orders could be placed by choosing various dishes based on their features and nutrients through a touch screen that enables customers to receive a meal in less than five minutes after ordering. RobinFood was founded in 2018 and is headquartered in Bogotá, Colombia.",,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Hardware, Software, Transportation",2.0,"Jose Guillermo Calderon, Miguel Mc Allister",501-1000,4.0,Early Stage Venture,2020-10-02,16000000,USD,16000000.0,Debt Financing,15000000.0,USD,15000000.0,Series B,20000000.0,USD,20000000.0,36000000.0,USD,36000000.0,"ALLVP, Seaya Ventures, MGM Innova Group",2.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"9,099",13.0,,,,0.0,0.0,,Advertising; business,,,,,Colombia,Bogotá,Distrito Especial,0
12,Zinobe,https://www.crunchbase.com/organization/zinobe,"Big Data, Credit, Financial Services, FinTech, Insurance, Payments","Bogotá, Distrito Especial, Colombia",Digital financial services company in the Colombian market. Developed a data centric credit model to help target underserved markets.,"9,826",Latin America,$1M to $10M,Active,2011-07-01,day,,,,,For Profit,http://www.zinobe.com,,,https://www.linkedin.com/company/2512942/,alianzas@zinobe.com,(+571) 3299833,1,,"Zinobe has operated in Colombia since 2012 and develops online financial products for the consumer and small business sectors. The company is focused on using technology to provide the highest level of customer experience and has developed a data centric credit model to help target underserved markets in Colombia. Zinobe is backed by firms such as QED Investors, a U.S. based venture capital firm specializing in disruptive financial services companies in the U.S., U.K. and Latin America. For more information, please visit www.zinobe.com, www.lineru.com.",,,,,,,,,,,,,,"Data and Analytics, Financial Services, Lending and Investments, Payments",2.0,"Martin Schrimpff, Tarek El Sherif",101-250,3.0,Early Stage Venture,2020-04-01,30000000,USD,30000000.0,Debt Financing,,,,Series A,,,,30000000.0,USD,30000000.0,"QED Investors, Ali Saadat Meli, Martin Schrimpff",2.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"10,301",6.0,,,18.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
13,Tul,https://www.crunchbase.com/organization/tul-302e,"Building Material, Construction, E-Commerce, Hardware, Mobile Apps","Bogotá, Distrito Especial, Colombia",Tül offers an application where users can buy hardware and construction products directly from their phone.,"10,269",Latin America,,Active,2020-01-22,day,,,,,For Profit,https://tul.com.co/,https://twitter.com/soytulcol,https://www.facebook.com/soytulcol,https://www.linkedin.com/company/soytul/,info@tul.com.co,8088165,1,,"Tül offers an application where users can buy hardware and construction products directly from their phone, at the time that best suits them and their business. It is their right hand for the purchase of all hardware and construction products. Users will find the best prices on their purchases, they can buy what they want when they want it and they will receive what it is when it is.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Hardware, Mobile, Real Estate, Software",3.0,"Enrique Villamarin Lafaurie, Juan Carlos Narváez, Nicolas Villegas",101-250,1.0,Seed,2020-10-27,4000000,USD,4000000.0,Seed,4000000.0,USD,4000000.0,Seed,4000000.0,USD,4000000.0,4000000.0,USD,4000000.0,"Vine Ventures, Jose Llorens",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"10,758",32.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
14,Omni Latam,https://www.crunchbase.com/organization/omni-latam,"Commercial Lending, Finance, Financial Services, FinTech, Risk Management","Bogotá, Distrito Especial, Colombia",Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions.,"10,777",Latin America,$1M to $10M,Active,2018-01-01,year,2020-06-16,day,,,For Profit,https://omnilatam.com/co/,https://twitter.com/omnilatam,https://es-la.facebook.com/omnilatam/,https://www.linkedin.com/company/omnilatam,ceo@portalfinance.co,+57 4 444 21-40,10,,"Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions for companies, facilitating access to financing wherever you are, without moving and with approval in less than an hour.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Professional Services",3.0,"Andrés Abumohor, Charlie A Cliff, Diego Caicedo",101-250,4.0,M&A,2018-09-03,200000000,USD,200000000.0,Debt Financing,1600000.0,USD,1600000.0,Seed,1650000.0,USD,1650000.0,201650000.0,USD,201650000.0,"Magma Partners, BTG Pactual",2.0,2.0,,Was Acquired,Omni Latam acquired by Greensill Capital,https://www.crunchbase.com/acquisition/greensill-capital-acquires-omni-latam--8fa21b48,Greensill Capital,https://www.crunchbase.com/organization/greensill-capital,2020-06-16,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"11,276",17.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
15,LAIKA,https://www.crunchbase.com/organization/laika,"Consumer Goods, E-Commerce, Pet, Retail","Bogotá, Distrito Especial, Colombia",LAIKA is an e-commerce platform for pets that offers a variety of products and services.,"11,647",Latin America,,Active,2017-08-30,day,,,,,For Profit,http://www.laika.com.co,,https://web.facebook.com/LaikaUniverso/,https://www.linkedin.com/company/laika-app/about/,servicioalcliente@laika.com.co,+3009108496,2,,"LAIKA is like a dog with two tails right now. Its platform for pet products and services has been growing in recent months and it’s drawn the necessary investment to keep up its momentum. LAIKA built a digital platform where users don’t have to go anywhere else to meet said needs. With two main sections; products and services. In the products section, we have more than 4,000 references (among which you can find most of the brands of food, snacks, medicines, accessories and others). In the services section, we have more than 17 services, all the healthcare, beauty and entertainment services. All of the above delivered straight to your home and with the flexibility of choosing the date and time on and at which you wish to receive the order, including same-day deliveries for the main cities and accepting all payment methods, both online and cash on delivery.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Consumer Goods",2.0,"Camilo Sanchez, Manuela Sanchez Villamarin",11-50,4.0,Seed,2020-07-09,7000000,USD,7000000.0,Seed,7000000.0,USD,7000000.0,Seed,7000000.0,USD,7000000.0,7000000.0,USD,7000000.0,"Soma Capital, Y Combinator, JAM Fund, Pioneer Fund, Palm Drive Capital",1.0,10.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"12,179",53.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
16,Finsocial,https://www.crunchbase.com/organization/finsocial,"Banking, Financial Services","Barranquilla, Atlantico, Colombia",Finsocial provides credit solutions including payroll loan for teachers and pensioners.,"12,053",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://www.finsocial.co/,https://twitter.com/finsocial2,https://www.facebook.com/finsocialsas/,https://www.linkedin.com/company/finsocial/,servicioalcliente@finsocial.co,01 8000 180757,3,,Finsocial provides credit solutions including payroll loan for teachers and pensioners.,,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,251-500,2.0,,2020-08-18,20000000,USD,20000000.0,Debt Financing,,,,,,,,145000000.0,USD,145000000.0,"Morgan Stanley, Symbiotics Group, Bancóldex",3.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"12,604",32.0,,,,,,,,,,,,Colombia,Barranquilla,Atlantico,0
17,Leal,https://www.crunchbase.com/organization/leal,"Analytics, Information Services, Information Technology, Internet","Bogotá, Distrito Especial, Colombia","Leal is a digital platform for retailers in Latin America to identify, engage and reward their most valuable customers.","12,766",Latin America,$1M to $10M,Active,2016-06-15,day,,,,,For Profit,http://www.leal.co,https://www.twitter.com/puntosleal,https://www.facebook.com/puntosleal,https://www.linkedin.com/company/10494210/,info@leal.com.co,(57)3503189980,14,,"Leal is the largest and fastest growing loyalty network in Colombia with over 400 participating brands. For affiliated merchants, Leal provides the technology they need to compete in a digital world. Their digital platform combines business analytics, a powerful CRM, and Point of Sale (POS) system integration to enable merchants to grow their business and communicate effectively with their customers. For registered users, Leal brings together multiple loyalty programs in a single app/card that allows them to earn rewards for their purchases at their favorite merchants.",,,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services",2.0,"Camilo Martinez, Florence Frech",51-100,6.0,Early Stage Venture,2020-11-19,5500000,USD,5500000.0,Series B,5500000.0,USD,5500000.0,Series B,10000000.0,USD,10000000.0,12000000.0,USD,12000000.0,FCP Emprendimiento e Innovación SP,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"13,344",14.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
18,Superfuds,https://www.crunchbase.com/organization/superfüds,"B2B, B2C, Consumer Goods","Bogotá, Distrito Especial, Colombia",Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,"13,445",Latin America,Less than $1M,Active,2016-01-06,day,,,,,For Profit,https://superfuds.com/,,https://www.facebook.com/superfuds/,https://www.linkedin.com/company/10040406,sebastian@superfuds.com.co,+573206481094,7,,Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,,,,,,,,,,,,,,"Consumer Goods, Other",1.0,Sebastian Hernandez,101-250,5.0,Early Stage Venture,2020-12-22,3300000,USD,3300000.0,Series A,3300000.0,USD,3300000.0,Series A,5290000.0,USD,5290000.0,5290000.0,USD,5290000.0,"K50 Ventures, Marstar Investments",2.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,048",29.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
19,Cubbo,https://www.crunchbase.com/organization/cubbo,"B2B, Logistics, Real Estate","Bogotá, Distrito Especial, Colombia",Re-purposing distressed real estate assets into micro-fulfillment spaces throughout Latin America.,"13,719",Latin America,,Active,2021-01-01,day,,,,,For Profit,,,https://www.facebook.com/cubboapp,https://www.linkedin.com/company/cubbo-app,hello@cubbo.com,+57 3173657109,,,"Cubbo is a startup that focuses on repurposing distressed real estate assets (e.g., unused brick-and-mortar outlets or abandoned strip malls) and turning them into spaces suited for new industries, such as urban micro-fulfillment spaces for online retail.",,,,,,,,,,,,,,"Other, Real Estate, Transportation",1.0,Brian York,11-50,1.0,Seed,2021-01-18,2000000,USD,2000000.0,Pre-Seed,2000000.0,USD,2000000.0,Pre-Seed,2000000.0,USD,2000000.0,2000000.0,USD,2000000.0,"Graph Ventures, Brian Requarth, Florian Hagenbuch, Julio Vasconcellos, Manolo Atala",,21.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,332",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
20,Maestrik,https://www.crunchbase.com/organization/maestrik,"Apps, Education, Internet, Mobile, Software","Bogotá, Distrito Especial, Colombia","You will find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.","13,776",Latin America,Less than $1M,Active,2017-06-17,day,,,,,For Profit,https://maestrik.com,https://twitter.com/maestrikcol,https://www.facebook.com/maestrikcol/,https://www.linkedin.com/company/maestrik/,camilo@maestrik.com,(+1) 5185201,1,,"Maestrik helps you find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.",,,,,,,,,,,,,,"Apps, Education, Internet Services, Mobile, Software",2.0,"Camilo Sardi Orozco, Mario Andrés Tobón Orozco",51-100,4.0,Seed,2019-11-07,1319970,USD,1319970.0,Debt Financing,750000.0,USD,750000.0,Seed,1300000.0,USD,1300000.0,2619970.0,USD,2619970.0,COLABORATIVOx,,1.0,1.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,390",29.0,,,,0.0,0.0,,Scientific and electric apparatus and instruments,,,,,Colombia,Bogotá,Distrito Especial,0
21,Avista,https://www.crunchbase.com/organization/avista-ca36,"Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Avista is a technology-based financial company reinventing people's financial lives through an ecosystem of simple, digital credit solutions","13,927",Latin America,$1B to $10B,Active,2019-02-01,month,,,,,For Profit,http://www.avista.co,,,https://www.linkedin.com/company/avista-financial-solutions/,andrea.giraldo@avista.co,,1,,"Founded in 2019, Avista is a tech-based financial company focused on reinventing people’s lives through an ecosystem of simple and digital financial solutions.  Its purpose is to guarantee access to credit products to all segments of Colombia’s population, including rural and intermediate cities. Thanks to its state of the art technology, it has been able to develop products at better prices, agile disbursement mechanisms while guaranteeing a satisfactory experience for all its clients. We are here for you!",,,,,,,,,,,,,,Financial Services,,,251-500,1.0,,2020-04-23,75000000,USD,75000000.0,Debt Financing,,,,,,,,75000000.0,USD,75000000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,546",31.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
22,Truora,https://www.crunchbase.com/organization/truora,"Developer Platform, Information Services, Security","Cali, Valle del Cauca, Colombia","Truora provides fast, innovative, and safe solution in background checks and identity theft detection.","14,245",Latin America,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.truora.com/,,,https://www.linkedin.com/company/truora/,contact@truora.com,,6,,"Truora provides fast, innovative, and safe solution in background checks and identity theft detection.  The company's platform supports over 10,000 checks per hour. Through the company's technical and analytical skills, the company has a unique response capacity, ensuring that the user receives the best service. Truora 's clients include national and international retailers, banks, and marketplaces; providing custom made solutions to their human resources, risk and digital teams.",,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",4.0,"Cesar Pino, Daniel Bilbao, Daniel Bilbao, Maite Muniz Telleria",11-50,3.0,Seed,2019-06-01,3300000,USD,3300000.0,Seed,3300000.0,USD,3300000.0,Seed,3450000.0,USD,3450000.0,3450000.0,USD,3450000.0,"Y Combinator, Accel, Magma Partners, Kaszek Ventures, MAYA Capital",3.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,871",57.0,,,,,,,,,,,,Colombia,Cali,Valle del Cauca,1
23,Ayenda Hotels,https://www.crunchbase.com/organization/ayenda,"Hospitality, Hotel, Travel","Medellín, Antioquia, Colombia",Fastest growing budget hotel chain.,"14,676",Latin America,Less than $1M,Active,2015-05-01,day,,,,,For Profit,https://www.ayenda.com,,https://www.facebook.com/ayendahoteles/,https://www.linkedin.com/company/ayenda/,info@ayenda.com,573012311425,7,,"Ayenda is the fastest growing hotel chain in Latin America. Based in Colombia, Ayenda Currently is the larger hotel chain in this country by the number of properties. Ayenda franchise small hotels in main cities to ensure quality on the basics needs for travelers. Ayenda is a technology company, this enables run the chain by the proprietary software in all areas, from hotel software, pricing algorithms, and user-facing experience.",,,,,,,,,,,,,,Travel and Tourism,1.0,Andrés Sarrazola,101-250,2.0,Early Stage Venture,2020-02-19,8700000,USD,8700000.0,Series A,8700000.0,USD,8700000.0,Series A,10000000.0,USD,10000000.0,10000000.0,USD,10000000.0,"SoftBank, 500 Startups, Kaszek Ventures, K50 Ventures, Irelandia Aviation",2.0,7.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"15,318",20.0,3.0,,9.0,,,,,,,,,Colombia,Medellín,Antioquia,0
24,Finaktiva,https://www.crunchbase.com/organization/finaktiva,"Financial Services, FinTech, Information Technology, Lending, Small and Medium Businesses","Medellín, Antioquia, Colombia",Online lending platform for high impact SMEs in Colombia,"14,873",Latin America,Less than $1M,Active,2017-01-01,year,,,,,For Profit,https://finaktiva.com/,https://twitter.com/finaktiva,https://www.facebook.com/finaktiva/,https://www.linkedin.com/company/finaktiva-s-a-s/,pablo@finaktiva.com,+57 (4) 444 14 54,10,,"Finaktiva is the fintech ally for Colombian entrepreneurs. It offers flexible and agile online loans adjusted to the cashflow and capital needs of small and medium companies, plus advisory tools to support their growth. It looks for businesses with an innovative model, two digits growth rates, and positive impact in their communities.",,,,,,,,,,,,,,"Financial Services, Information Technology, Other",1.0,Pablo Santos Ramon,11-50,3.0,Early Stage Venture,2019-06-30,9000000,USD,9000000.0,Series A,9000000.0,USD,9000000.0,Series A,15000000.0,USD,15000000.0,15000000.0,USD,15000000.0,"Triodos Investment Management, Alphamundi, GRUPO BANCOLOMBIA, Aktiva Asset Management, Confiar",2.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"15,520",21.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,1
25,ontop,https://www.crunchbase.com/organization/top-e6ff,"Human Resources, SaaS","Bogotá, Distrito Especial, Colombia","Taxes, Onboarding and Payroll manager for international teams","16,267",Latin America,,Active,2020-07-01,day,,,,,For Profit,https://www.ontop.ai/,https://twitter.com/ontopai,,https://www.linkedin.com/company/ontopai/,,,2,,"Hire legally anywhere in the world. We empower you to think global. Hire, manage and pay the best talent from any country you can dream of. Taxes, onboarding and payroll for global teams",,,,,,,,,,,,,,"Administrative Services, Software",3.0,"Jaime Abella, Julian Torres, Santiago Aparicio",11-50,2.0,Seed,2020-12-14,1000000,USD,1000000.0,Pre-Seed,1000000.0,USD,1000000.0,Pre-Seed,1300000.0,USD,1300000.0,1300000.0,USD,1300000.0,Y Combinator,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"16,957",35.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
26,Sempli,https://www.crunchbase.com/organization/sempli,"Financial Services, FinTech, Lending, Online Portals, Small and Medium Businesses","Medellín, Antioquia, Colombia",Sempli is the leading online lending platform for small businesses in Colombia.,"16,658",Latin America,Less than $1M,Active,2017-01-01,day,,,,,For Profit,http://www.sempli.co,https://www.twitter.com/sempli_co,https://www.facebook.com/sempli.co,https://www.linkedin.com/company/sempli.co/,contacto@sempli.co,+57 (4) 322 5002,5,,Sempli is an online lending platform for small businesses in Colombia.,,,,,,,,,,,,,,"Financial Services, Internet Services, Other",2.0,"Esteban Velasco, Felipe Llano",11-50,6.0,Early Stage Venture,2019-04-30,6500000,USD,6500000.0,Series A,6500000.0,USD,6500000.0,Series A,8800000.0,USD,8800000.0,24000000.0,USD,24000000.0,"Oikocredit International, Alphamundi, IDB Lab, Incofin Investment Management, Impulsum Ventures",,11.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,357",37.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,1
27,FLUVIP,https://www.crunchbase.com/organization/fluvip,"Advertising, Apps, Photo Sharing, Social Media Marketing, Video Streaming","Bogotá, Distrito Especial, Colombia",Fluvip is an influencer marketing company in Latin America and the United States.,"16,769",Latin America,Less than $1M,Active,2013-07-10,day,,,,,For Profit,http://www.fluvip.com,http://twitter.com/FluvipGlobal,http://www.facebook.com/fluvip,http://www.linkedin.com/company/fluvip-sas,sebastian@fluvip.com,+57 (1) 703 32 29,7,,"Fluvip is an influencer marketing company in Latin America and the United States. It offers a technology platform that allows advertisers to identify the right social content influencers for their campaigns based on artificial intelligence systems; and brands to connect with social content influencers in the world through multi-channels, such as Twitter, Instagram, Vine, Facebook, and Blogs.  Fluvip measures the reactions and behaviors of users in social networks to obtain segmentation results and to achieve effective campaigns. Sebastian Jasminoy founded it on July 10, 2013, with its headquarters in Bogotá in Colombia.",,,,,,,,,,,,,,"Advertising, Apps, Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video",1.0,Sebastian Jasminoy,101-250,5.0,Early Stage Venture,2018-07-30,4500000,USD,4500000.0,Series A,4500000.0,USD,4500000.0,Series A,7000000.0,USD,7000000.0,7496821.0,USD,7496821.0,"Wayra, TheVentureCity Fund, Cisneros Group, Velum Inverlink",1.0,4.0,1.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,475",26.0,,,11.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
28,Demetria,https://www.crunchbase.com/organization/demetria,"Artificial Intelligence, Software","Bogotá, Distrito Especial, Colombia",Demetria is an AI-powered taste and quality intelligence SaaS startup for the coffee supply chain.,"16,902",Latin America,,Active,2018-01-01,year,,,,,,https://demetria.ag/,,,https://www.linkedin.com/company/demetria-ag,,,2,,Demetria is an AI-powered taste and quality intelligence SaaS startup for the coffee supply chain.,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",,,11-50,1.0,Seed,2021-03-02,3000000,USD,3000000.0,Seed,3000000.0,USD,3000000.0,Seed,3000000.0,USD,3000000.0,3000000.0,USD,3000000.0,"Celeritas, Mercantil Colpatria",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,611",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
29,Lentesplus,https://www.crunchbase.com/organization/lentesplus,"Customer Service, E-Commerce, Eyewear, Health Care, Internet","Bogotá, Distrito Especial, Colombia",Lentesplus.com is the leading online contact lens suscription platform for LATAM,"17,846",Latin America,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.lentesplus.com,http://twitter.com/Lentespluscom,http://www.facebook.com/LentesplusGlobal,,jaime@lentesplus.com,,2,,"Lentesplus.com brings the Latin American contact lens market online and into the 21st century, offering competitive prices between 20% and 30% below market standards. The company offers clients ease and efficiency, delivering the correct product straight to their homes or offices, in many cases on the same day as the order was placed. With a strong focus on customer service, Lentesplus makes reordering contact lenses as simple as two clicks. Currently have operations in Colombia, Mexico, Chile and Argentina",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care, Internet Services, Other, Professional Services",3.0,"Carlos Avendaño, Diego Mariño, Jaime Oriol",51-100,4.0,Late Stage Venture,2020-03-20,5200000,USD,5200000.0,Series D,5200000.0,USD,5200000.0,Series D,13700000.0,USD,13700000.0,13700000.0,USD,13700000.0,"Palm Drive Capital, IGNIA, InQlab, Stella Maris Partners, Inversiones Oranda",2.0,5.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"18,586",29.0,,,24.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
30,Mi Aguila,https://www.crunchbase.com/organization/mi-águila,"E-Commerce, Logistics, Software","Bogotá, Distrito Especial, Colombia",Mi Aguila is a technology company focused on empowering traditional businesses in Latin America through logistics and e-commerce software.,"18,626",Latin America,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://miaguila.com,,https://www.facebook.com/MiAguilaOficial/,https://www.linkedin.com/company/9188061/,ventas@miaguila.com, +(571) 7458868,,,,,,,,,,,,,,,,,"Commerce and Shopping, Software, Transportation",2.0,"Andres Blumer, Bruno Ocampo-Gonzalez",101-250,4.0,Early Stage Venture,2020-10-01,3000000,USD,3000000.0,Convertible Note,3500000.0,USD,3500000.0,Series A,5950000.0,USD,5950000.0,8950000.0,USD,8950000.0,"Angel Ventures, Alpha4 Ventures, K50 Ventures, Charles Meyer",3.0,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"19,393",33.0,4.0,"4,891",,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
31,Foody,https://www.crunchbase.com/organization/foody-df60,"E-Commerce, Food and Beverage, Mobile Apps","Bogotá, Distrito Especial, Colombia",Foody provides healthy food to the vast majority of Latin Americans with affordable prices,"19,798",Latin America,Less than $1M,Active,2017-01-06,day,,,,,For Profit,https://foody.com.co,,https://www.facebook.com/foodycolombia,https://www.linkedin.com/company/foodyco/about/,contacto@foody.com.co,,1,,Foody provides healthy food to the vast majority of Latin Americans with affordable prices.,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software",3.0,"Andrés David Galindo, Antonio José Plata Rodelo, Juan Pasquale",11-50,5.0,Seed,2020-06-01,150000,USD,150000.0,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,459229.0,USD,459229.0,"Innogen Capital, INVX, José Fernando Velez, Nicolas Fernandez Talice, Rolf Veldman",1.0,8.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,595",58.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
